Datetime,Text
2023-01-02 21:56:35+00:00,"The NDAA boosts our national security and will help Alabama continue to support America’s military.
 
The importance of a strong NDAA cannot be overstated.
https://t.co/XsVYIQCDZh"
2023-01-02 13:55:12+00:00,"It’s time to secure our southern border and enforce the immigration laws already in place. We can do this by giving our border agents the support and tools they need to address drug smuggling, human trafficking and illegal immigration.
https://t.co/DDN7Gk5xjv"
2023-01-01 06:00:27+00:00,"It’s 2023, Alabama! Wishing you a blessed new year. https://t.co/e15WiHqpvo"
2022-12-31 21:21:05+00:00,"ICYMI: My office secured multiple wins for Alabama in the NDAA.
https://t.co/3ufyKeLxwt"
2022-12-30 23:37:25+00:00,"ICYMI: I’m holding the @DeptofDefense accountable for their radical, expanding abortion policy.
https://t.co/X9bcfcbTKT"
2022-12-30 20:47:43+00:00,"The Biden administration has pleaded with Russia, Iran, and Venezuela to produce more energy while shutting down American energy production.
 
This radical energy stance hurts the U.S. economy, threatens national security, and emboldens enemies of freedom."
2022-12-29 16:03:17+00:00,"China’s growing economic influence and purchasing of farmland in the United States is a threat to both our food security and national security.
 
We cannot continue to give our most threatening adversary a foot in the door to our nation’s agricultural assets."
2022-12-28 23:52:08+00:00,"The Biden administration’s failures have emboldened our adversaries.
 
Safety and peace can only be secured by a prepared, lethal military.
https://t.co/YYDDoSd8PV"
2022-12-28 17:11:01+00:00,"My bill to streamline post-9/11 GI Bill benefits has been signed into law. It will ensure eligible dependents, such as children of service members, aren't barred from using education benefits due to confusing paperwork. It may seem like a small fix, but it will make a big impact. https://t.co/aAUXkudBbg"
2022-12-27 20:47:01+00:00,"President Biden’s failed energy policies are making Alabamians pay more this winter.
 
We must unleash American energy and rein in inflation to make life more affordable.
https://t.co/eCpeQofKWf"
2022-12-26 19:17:42+00:00,"ICYMI: I recently spoke on the work we’ve done for Alabamians and all Americans in my second year as Senator. 
https://t.co/nlAEj4A6ki"
2022-12-25 12:45:37+00:00,Wishing everyone a blessed Christmas Day. 🎄 https://t.co/vyR3bgHTDz
2022-12-23 19:33:06+00:00,"🚨Concerning news out of Alabama and communities across the US: parents are struggling to find medicines used to treat their kids. Our dependence on foreign imports of essential goods continues to harm American families.
https://t.co/JrPhJCKg9O"
2022-12-22 19:24:32+00:00,https://t.co/uppetrgIOt
