Datetime,Text
2023-01-02 17:13:39+00:00,"Study: Pediatric mental health ER visits on rise, expert says social media plays a role https://t.co/v4hGN20vmL"
2023-01-02 01:24:44+00:00,"Thanks to @NuecesCoSO deputies, including Nuve the K9, for working on New Year’s Day to keep @NuecesCo residents safe. https://t.co/DBhm2W95l4"
2023-01-02 00:48:13+00:00,"Congratulations to the newly elected local officials taking office throughout Texas today, including my friend, new @NuecesCo Judge Connie Scott. 

Thanks for your willingness to step forward &amp; serve your communities. https://t.co/Dehjt3YaHV"
2023-01-01 16:33:07+00:00,Happy New Year! https://t.co/edwkGNZhhj
2023-01-01 15:23:05+00:00,On this day in 1863 Abraham Lincoln signs the Emancipation Proclamation https://t.co/td8KYBS6jD
2023-01-01 15:21:52+00:00,"Due to experience requirements, Ward became special chief justice and Ruth V. Brazzil and Hattie L. Henenberg filled the associate justice positions. The special court first met on January 8, 1925. Women did not serve on juries in the state until 1954.
@TxStHistAssoc"
2023-01-01 15:21:51+00:00,"Since most of the other judges in Texas were also Woodmen, Neff decided to choose female lawyers, who were ineligible for lodge membership. Nellie Robertson was named special chief justice, and Edith Wilmans and Hortense Ward served as special associate justices."
2023-01-01 15:21:51+00:00,"On this day in 1925, Governor Pat M. Neff appointed an all-woman state Supreme Court, the first in Texas and probably in the nation. The case before the court involved the Woodmen of the World. All three justices belonged to this organization and were consequently disqualified."
2023-01-01 15:10:45+00:00,House Republicans Plan a Committee on Censors and Snoops by @KimStrassel https://t.co/fzHWTnHIYY
2022-12-31 23:48:56+00:00,Dallas residents deserve more than ‘good enough’ in new year https://t.co/WMkZsSZCNu
2022-12-31 15:56:47+00:00,"U.S. Senators John Cornyn and Angus King Bill to Support Students’ Mental Health, Promote School Safety Signed into Law https://t.co/7v0A8xwkrB"
2022-12-31 11:47:52+00:00,"Cornyn, Padilla Bill to Allow Unspent COVID Relief Dollars for Infrastructure, Disaster Relief Signed Into Law https://t.co/svbzyhFaw8"
2022-12-31 11:47:27+00:00,Cornyn: Greater Houston Area to Receive $1.2M to Improve Mental Health Resources in Schools - The Katy News https://t.co/KaLDgDKlas
2022-12-30 13:18:16+00:00,Taiwan is home to more than 90% of the manufacturing capacity for the world’s leading-edge chips. Global policy makers and customers are increasingly leery of their technological reliance on an island Beijing has threatened to invade and have pushed TSMC to move some production.
2022-12-30 13:17:03+00:00,TSMC Starts Next-Gen Mass Production as World Fights Over Chips  https://t.co/esSr3AlVoW
2022-12-30 12:38:17+00:00,"As of 2019, according to data from the National Association for Shoplifting Prevention, a thief could steal $999 or less in 21 states and face a mere misdemeanor; in five states, the felony threshold was $2,000 or higher."
2022-12-30 12:38:17+00:00,"As if inflation weren’t enough, the cost of shoplifting on stores and paying customers is also on the rise. https://t.co/UWc3VbyuYX via @WSJ"
2022-12-29 17:21:24+00:00,A Spoonful of Sanity for Biden in 2023 https://t.co/NuLQQND5kV via @KarlRove
2022-12-29 15:53:04+00:00,San Angelo Region Awarded Federal Funds for Mental Health Providers After Uvalde Tragedy https://t.co/5GtBsKCCdl
2022-12-29 14:14:16+00:00,"On this day in 1845, the United States Congress voted to annex Texas. @TxStHistAssoc"
2022-12-27 22:04:56+00:00,via @NYTimes https://t.co/Lc78NbMGkb
2022-12-27 14:11:41+00:00,There's nothing compassionate about the humanitarian crisis Democrats have created at the border https://t.co/tMP5VbSUUN via @nypost
2022-12-26 17:11:23+00:00,Cornyn Bill to Authorize Coastal Spine Project Signed Into Law Archives - The Katy News https://t.co/D3bkSw6qiA
2022-12-26 15:47:10+00:00,Growing semiconductor industry solidifies Central Texas&amp;#039; status as &amp;#039;Silicon Hills&amp;#039; https://t.co/cto8jib6R1
2022-12-25 23:23:29+00:00,REK - Merry Christmas from the Family https://t.co/WqCsE2TmVW via @YouTube
2022-12-25 14:23:22+00:00,Texas is now home to 30 million people https://t.co/9vMhjFz1DQ via @TexasTribune
2022-12-25 13:02:57+00:00,Sandy and I wish each and every Texan a safe and merry Christmas. https://t.co/gATvkoSA83
2022-12-25 01:11:28+00:00,#MerryChristmas https://t.co/PZJBO518vq
2022-12-24 22:16:08+00:00,"Top Texas Sheriff Leaves Democrats, Switches to Republican Party https://t.co/a7NwrEauXE via @news_ntd"
2022-12-24 18:55:28+00:00,https://t.co/xlF5f6Qhad
2022-12-24 16:28:29+00:00,"With Christmas and New Years just around the corner, I want to say a big thank you to our brave men and women in uniform serving all around the world.

Thanks to your dedicated service, we can be safe at home with loved ones this holiday season.

https://t.co/03TVF9dMAB"
2022-12-24 15:07:34+00:00,"Japan reverses nuclear energy phase-out policy amid global fuel shortages, climate change https://t.co/UA4VAqqiks via @ABCaustralia"
2022-12-24 14:53:25+00:00,The supply chain that keeps tech flowing to Russia https://t.co/S6tpC6VV4d
2022-12-24 12:57:38+00:00,"Cornyn, Sinema Bill to Combat Illicit Cross-Border Tunnels Signed into Law https://t.co/veIuEerZOJ"
2022-12-24 02:33:05+00:00,Cornyn Bill to Authorize Coastal Spine Project Signed Into Law https://t.co/qUzxQcWUot
2022-12-23 22:38:48+00:00,Biden's Disgraceful Border Evasions https://t.co/qc1tNCjDMs
2022-12-23 15:28:44+00:00,"Denver is 650 miles from the border city of El Paso, but thousands of migrants who entered the U.S. illegally have gone there this month, straining local resources https://t.co/d36dDMLAVF via @WSJ"
2022-12-23 14:42:39+00:00,U.S. aid to Ukraine is helping to degrade an enemy military without the death of a single American in uniform.  https://t.co/MGGwEeGElV via @WSJ
2022-12-23 13:46:09+00:00,"California (minus 218,000), New York (minus 222,000), and Illinois (minus 110,000) lost the most."
2022-12-23 13:46:09+00:00,"In movement among states, Florida gained a net 444,000 people, or more than 1,200 a day, as the top gainer, followed by Texas (350,000), North Carolina (126,000), and South Carolina (95,000)."
2022-12-23 13:46:08+00:00,"States that recorded the largest percentage gains were Florida (1.9%), Idaho (1.8%), South Carolina (1.7%), and Texas (1.6%)."
2022-12-23 13:46:08+00:00,"In the last year, 18 states lost population, led by New York (minus 0.9%), Illinois (minus 0.8%), and Louisiana (minus 0.8%). California, the nation’s most populous state, saw a decline of 0.3%. @WSJ"
2022-12-22 21:09:32+00:00,In other words it is the criminal enterprises that smuggle people and drugs - not the government of Mexico - that control the routes and the border.  Again the Biden Administration is willfully ignorant or the problem and the solutions
2022-12-22 19:49:07+00:00,Sometimes the lesser of two bad choices is all you have got.
2022-12-22 19:49:06+00:00,"Having lost the vote for a continuing resolution until the new Republican majority takes over in January, we had two bad choices: cast a protest vote AGAINST funding our military, veterans, border patrol, and other essential government functions, or vote for a flawed bill."
2022-12-22 19:49:06+00:00,"While I strongly believe the government funding process is broken and must return to regular order, we cannot abdicate our duty to our men and women in uniform and at our southern border and fail to provide them the resources to do their jobs."
2022-12-22 19:49:05+00:00,"But a shutdown would negatively impact our national security &amp; economy at a time when we can least afford it, and without the votes to change the outcome would be pointless."
2022-12-22 19:49:04+00:00,"This is not responsible governing. If Republicans controlled the agenda, it would be much different."
2022-12-22 19:49:04+00:00,"While my provisions to support Sept. 11 families and to allow state &amp; local govts to reallocate unspent COVID funds to other important priorities did pass, Senate Democrats blocked many others."
2022-12-22 19:49:03+00:00,"This morning, Senate Republicans demanded &amp; I voted for amendments to:
•  Keep Title 42 in place
•  Remove earmarks
•  Support 9/11 victims’ families
•  End funding migrant transport in the U.S."
2022-12-22 19:49:03+00:00,"The Senate voted on government funding just 3 days before Christmas because Democrats, who control the agenda, didn't do their job and pass funding bills earlier. 
 
Senate Democrats have failed in one of our most basic responsibilities."
2022-12-22 15:36:38+00:00,"To make illicit fentanyl, Mexican drug cartels use ingredients from Chinese chemical companies. #BidenBorderCrisis https://t.co/IPHTXUmqea"
2022-12-22 14:05:53+00:00,‘Unprecedented emergency’: Dem-led cities and states brace for influx of migrants https://t.co/TfB8knMwR2 via @politico
2022-12-22 14:03:09+00:00,"108,000 Americans died last year from overdosing on drugs smuggled across U.S.-Mexico border. #BidenBorderCrisis has made it much worse."
2022-12-22 14:03:06+00:00,"That comes on top of a 30 percent increase in overdose deaths in 2020.  Fatal drug overdose rates increased among nearly every racial and ethnic group, and were highest among American Indian or Alaska Native and Black individuals."
2022-12-22 14:03:06+00:00,Covid-19 and overdose deaths drive U.S. life expectancy to a 25-year low https://t.co/zULiI9Hp5R via @politico
2022-12-22 13:56:58+00:00,Cubans to Nicaragua so they can then make the trek to the US. Border and into the interior due to #BidenOpenBorder policies.
2022-12-22 13:28:32+00:00,Biden’s Title 42 Catastrophe by @DanHenninger https://t.co/OBmLIX5JF3
2022-12-22 12:15:22+00:00,JUST IN: Durbin Blocks Cornyn's Legislation To Combat Child Sex Trafficking https://t.co/TEnLuL9R0T via @YouTube
2022-12-21 23:20:32+00:00,The FBI vs. Comedians https://t.co/gDsQMwkuXa
2022-12-21 19:47:47+00:00,Migrants at US-Mexico border await ruling on asylum limits | AP News https://t.co/T6wa9kBski
2022-12-21 18:16:52+00:00,"Result of Biden’s precipitous, disastrous withdrawal from Afghanistan 

The Taliban banned girls from attending primary school, effectively instituting a total ban on the education of girls and women https://t.co/0302ihTreQ"
2022-12-21 11:44:40+00:00,"Tens of thousands wait at border for asylum limits to end
https://t.co/T6wa9kT3bQ"
2022-12-21 11:35:52+00:00,"How will asylum work after Title 42 ends? No one knows yet

https://t.co/NF5qt4zXez"
2022-12-21 11:27:55+00:00,"Government lawyers acknowledged that the end of Title 42, would “likely lead to disruption and a temporary increase in unlawful border crossings.”

Trump-Era Border Restrictions Are in Place as Lawsuits Reach Supreme Court https://t.co/2UBPh59wTc"
2022-12-21 11:26:06+00:00,U.S. Drug Agency Doubles Its Catch of Fentanyl-Laced Pills in 2022 https://t.co/SXxYLmtzHZ
2022-12-21 11:20:27+00:00,"Story of the year – No. 10 ... PSP demonstrates what it can do for Midland, Permian Basin https://t.co/agNvNEfTym via @mwtnews"
2022-12-21 02:29:09+00:00,‘No Brainer’: Kyrsten Sinema Calls Out Biden For Not Visiting The Border https://t.co/0DMRMpDgso via @dailycaller
2022-12-21 01:23:10+00:00,You can’t make this up. Biden Administration feels strongly both ways on title 42. Where is secret plan once it expires?  Or is secret that they have no plan?
2022-12-21 00:40:25+00:00,The American dream coming true. @bucees https://t.co/aLQ6Wko8hn
2022-12-20 23:00:16+00:00,"Local governments across our state are sitting on excess COVID funds they can’t use for anything else.   
 
I'm glad my fully paid-for bill with @SenAlexPadilla to give local leaders flexibility passed the Senate unanimously.
 
https://t.co/svbzyhFIlG"
2022-12-20 18:43:24+00:00,Congress braces for a hectic year-end week. It wasn’t always this way.  https://t.co/Dk5E9Fyj2c
2022-12-20 17:18:43+00:00,The Migration Crisis in El Paso Could Soon Grow Worse—Much Worse https://t.co/jWkNaRzqY5
2022-12-20 17:14:07+00:00,Although I have to admit it is hard to compete with #cornwatch
2022-12-20 16:08:43+00:00,"The situation at our southern border has never been this bad, and it was entirely predictable. 
 
This morning I joined @Foxandfriends to discuss the #BidenBorderCrisis and last night’s move by the Supreme Court to temporarily keep Title 42 in place.
 
https://t.co/o3op2lPMEu"
2022-12-20 15:10:56+00:00,Good luck. 😂
2022-12-20 13:26:17+00:00,TUNE IN: I'll be joining @foxandfriends in just a few minutes to discuss the #BidenBorderCrisis and last night's news from the Supreme Court that Title 42 will temporarily remain in place.
2022-12-20 11:39:43+00:00,From Zero Covid to No Plan: Behind China’s Pandemic U-Turn https://t.co/eBTMlKiOfG
2022-12-20 11:16:49+00:00,Rep. Cuellar thanks Supreme Court for protecting Title 42 https://t.co/BzuJey7uzB via @lmtonline
2022-12-20 00:23:06+00:00,"The Biden Admin should feel relieved tonight with SCOTUS delaying the end of Title 42. 

@DHSgov
has yet to release a serious plan for when this authority expires. The situation we will see at the border once it does will be catastrophic."
2022-12-19 14:34:25+00:00,China’s Dangerous Decline https://t.co/t1rEmiJ9Yc via @ForeignAffairs
2022-12-19 14:27:50+00:00,"Biden doesn't care

Officials of both parties warn U.S. is ill-prepared for lifting of border restrictions https://t.co/JrWTHI7FhK"
2022-12-19 13:43:25+00:00,"It hasn’t a clue whether something is correct or false, and confidently presents information as true even when it is not."
2022-12-19 13:43:24+00:00,"ChatGPT generates remarkably human-sounding answers to questions that it’s asked. The trouble is, it’s merely predicting the most likely next word in the sentence. @MITTechReview"
2022-12-19 13:19:23+00:00,": “The reason they’re not going, I understand from a political perspective, is [it’s] an ugly story for them. They have induced this problem.”"
2022-12-19 13:19:22+00:00,"Former Gov. Chris Christie (R) “knocked...Biden and VPOTUS Kamala Harris for not visiting the U.S.-Mexico border
https://t.co/rYliGsJW0N"
2022-12-19 13:12:41+00:00,Willful ignorance: https://t.co/R675k4xkEk
2022-12-19 12:39:53+00:00,Toyota’s president said a silent majority of auto-industry people question whether EVs should be pursued exclusively as the future of cars https://t.co/7Gmbwpe5x6 via @WSJ
2022-12-18 22:37:42+00:00,Wishing all Texans celebrating Hanukkah a prosperous and blessed Festival of Lights.
2022-12-18 17:08:15+00:00,Bipartisan Border Solutions Act: https://t.co/tMeWv5TUo9’s-immigration-crisis-has-bipartisan-solution. Introduced in April 2021.
2022-12-18 14:48:14+00:00,Why The United States Should Open New Consulates in India https://t.co/SelaWv3qpd
2022-12-18 14:30:53+00:00,What Comes Next for the Most Empty Downtown in America https://t.co/RsDhFDRI7x
2022-12-18 14:25:31+00:00,El Paso mayor declares state of emergency in response to growing migrant crisis https://t.co/Cht00CYtPf via @elpasotimes
2022-12-18 14:21:32+00:00,"This is the Chairman of the Senate Judiciary Committee with jurisdiction over immigration matters.  Not one bill has been debated and marked up while Democrats control the White House, House, and Senate. Talk is all we get. #BidenBorderCrisis"
2022-12-18 14:14:24+00:00,#BidenBorderCrisis
2022-12-18 14:11:35+00:00,Putin’s War: The Inside Story of a Catastrophe https://t.co/mTf75MSk0N
2022-12-17 19:50:18+00:00,So says the cartels’ biggest benefactor
2022-12-17 17:36:15+00:00,"Even before Title 42 ends, resources at the border are already buckling under a crush of recent migrants. In El Paso, Texas, Nicaraguans and other new arrivals are sleeping on the streets in the cold as shelters fill up. Yuma, Ariz., could be next for a major surge. @playbookdc"
2022-12-17 16:38:05+00:00,https://t.co/WiHWGLycdp
2022-12-17 15:00:16+00:00,"Lastly, we must be modest about what we can know."
2022-12-17 15:00:16+00:00,"Ninth, US leadership continues to be essential."
2022-12-17 14:59:26+00:00,"Eighth, there is still a West (a term based more on shared values than geography), and alliances remain a critical instrument to promote order."
2022-12-17 14:59:26+00:00,"Seventh, the potential for the internet to empower individuals to challenge governments is far greater in democracies than in closed systems."
2022-12-17 14:59:26+00:00,"Sixth, democracies obviously face their share of challenges, but the problems authoritarian systems face may be even greater."
2022-12-17 14:59:25+00:00,"Fifth, the phrase “international community” needs to be retired. There isn’t one."
2022-12-17 14:59:25+00:00,"Fourth, economic sanctions, in many instances the instrument of choice for the West and its partners when responding to a government’s violations of human rights or overseas aggression, rarely deliver meaningful changes in behavior."
2022-12-17 14:56:14+00:00,"Third, integration, which has animated decades of Western policy toward China, has also failed."
2022-12-17 14:56:14+00:00,"Second, the idea that economic interdependence constitutes a bulwark against war, because no party would have an interest in disrupting mutually beneficial trade and investment ties, is no longer tenable."
