Datetime,Text
2023-01-02 17:42:07+00:00,"This past year, I focused my efforts in Washington on helping tackle Utah’s drought and water issues, countering the China threat, supporting Ukraine, pushing for fiscal responsibility, and promoting key Utah priorities. My 2022 Policy Highlights report: https://t.co/dMr79VC2u1"
2022-12-31 18:49:56+00:00,"Although this year hasn't been easy, it's been a year of great legislative achievements. I'm proud to have advanced many priorities for Utah and for the nation, and I’m looking forward to what's to come in 2023. Recap of my 2022, as told through photos:https://t.co/Qp6Yvvw6pC"
2022-12-30 20:39:39+00:00,"Washington Democrats’ spending is unsustainable and is fueling historic inflation. When Congress returns in January, alleviating the burden of inflation on Americans and taming our mandatory spending and national debt must be top priorities.https://t.co/FO7LU16VW9"
2022-12-30 17:58:57+00:00,"Despite a year of new difficulties and challenges, I remain grateful for the opportunity to represent Utahns in Washington and help tackle some of the biggest issues facing our great country. My reflection on 2022:https://t.co/FO7LU16VW9"
2022-12-25 15:14:30+00:00,The holiday season gives us reason to pause and take stock in our blessings—one of the greatest of which is living in the best country on Earth. I especially render my thanks to our servicemembers for protecting the freedoms that we hold dear. From mine to yours: Merry Christmas! https://t.co/drRGcStYSw
2022-12-24 15:37:52+00:00,"Given the choice between having elf ears or Santa’s white beard, I’d go with the beard—by far. In fact, I have a white beard—you just don’t see it very often. Weighing in on this and more holiday topics with a Christmas edition of “this or that”: https://t.co/Foo7IG1uFN"
2022-12-22 20:46:50+00:00,I voted in favor of the government funding bill because it includes priorities for Utah and for our national security. Learn more:https://t.co/sQRZkAPg6r
2022-12-22 19:03:16+00:00,My thoughts on the government funding bill ↓ https://t.co/yhDE2Eku0i
2022-12-20 17:17:40+00:00,The Biden Administration has dealt with the crisis at our southern border with raging incompetence—our overwhelmed border communities and country at-large cannot afford their lack of attention. Title 42 must be kept in place to help stem the tide of illegal immigration.
2022-12-20 14:49:39+00:00,"We have record numbers of migrants illegally crossing the border and an alarming increase in drug trafficking, yet the Administration refuses to accept the solution sitting right in front of them: finish the wall, keep the “Remain in Mexico” policy, and keep Title 42 in place."
2022-12-16 13:27:48+00:00,"As China becomes a greater threat, working with allies like Japan is key to defending freedom and maintaining the global order. I applaud Japan for increasing its defense spending to 2% of GDP within the next 5 years. Investing in defense now is how we deter future conflict."
2022-12-16 00:45:28+00:00,"This year’s defense bill includes provisions which will counter the threats from China and Russia, help save the Great Salt Lake, and move forward efforts to bring a passport agency to Utah. I’m pleased to see the NDAA overwhelmingly pass the Senate. https://t.co/SAq2JKESV2"
2022-12-13 19:14:37+00:00,Completing the Bonneville Shoreline Trail will enhance recreational opportunities and provide more Utahns with better access to our state’s natural beauty. Glad my bill with @RepJohnCurtis to expand the trail unanimously passed the House—the Senate must take it up without delay.
2022-12-13 18:00:22+00:00,"Our bipartisan infrastructure bill promoted investment in building new energy infrastructure—critical to powering our defense, economy, and daily life. We can't afford for the Administration to further increase the red tape placed on these energy projects.https://t.co/q46GKwk3HN"
2022-12-13 15:30:36+00:00,"Members of the @UTNationalGuard represent the very best of our state. I’m grateful for the work that they—and all the reservists in our country—do to protect our way of life and keep us safe. Happy birthday, @USNationalGuard! #Guard386"
2022-12-12 17:53:47+00:00,"TikTok, which is owned by a company headquartered in China, poses grave security concerns to Utah and the country. This is the right move and will better protect sensitive data from getting into hands of the CCP."
2022-12-12 16:39:45+00:00,"Congratulations to Beaver County’s Stetson Wright on his record-breaking performance and for taking home two Gold Buckles at the @LasVegasNFR, including the All-Around World Champion! Year after year, you make our state proud.https://t.co/TMhC5UcSjp"
2022-12-09 20:30:38+00:00,"A shrinking Great Salt Lake poses a significant threat to Utah and our neighboring states. If it runs dry, exposed dusts and metals at the lakebed could seriously harm our health and wellbeing. To save the Lake, we need to dramatically reduce our water usage in Utah and the West. https://t.co/yTboZbZney"
2022-12-09 18:14:26+00:00,The critical minerals required for batteries &amp; solar panels largely come from China because we’re not mining enough here at home. We cannot afford for the CCP to be the global leader in energy production—we need a strategy for how we will lead the world in the new energy economy. https://t.co/bqkVFnLuL3
2022-12-09 16:13:24+00:00,Nuclear energy is non-emitting and available right now. It can be used alongside other reliable sources to power our economies as we continue to invest in clean energy technology for the future. Believing that we can become totally powered by wind and solar overnight is foolish. https://t.co/9pqUryJsoF
2022-12-09 14:18:57+00:00,"From COVID relief to infrastructure and gun safety, the past few years have proven that bipartisanship can happen in the Senate. If we want to craft bills that actually get things done for the American people—and represent our nation's general interests—we must work together. https://t.co/PsbkrULGtS"
2022-12-08 21:49:26+00:00,"The acute shortage of water for growers in the American West threatens productive farmland across our states, including Utah. @USDA must give priority to supporting our state's producers who are implementing important changes in response to the drought. https://t.co/DcKEzrrivX"
2022-12-08 20:55:05+00:00,"The Administration is fixated on shutting down American oil and gas. Our demand for these resources won’t change anytime soon. Instead of increasing our dependence on adversaries like China, we must continue developing American energy as we work to develop green technologies. https://t.co/1TZPaYnx8z"
