Datetime,Text
2023-01-01 16:12:22+00:00,I wish you a blessed and prosperous New Year! https://t.co/ol10aiuEBT
2022-12-31 19:23:55+00:00,I was saddened to hear of the passing of former Pope Benedict XVI. May he rest in eternal glory.
2022-12-31 17:45:30+00:00,"Creating a better tomorrow starts with setting goals today. I hope in this next year, you find opportunity to enrich your life and the lives around you! God bless and Happy New Year! https://t.co/VWVIFlusGi"
2022-12-31 15:30:25+00:00,"Happy New Year’s Eve! As we end another year, I hope you find time to reflect on the blessings of 2022 and are looking forward to the opportunities 2023 will bring. https://t.co/4v3xzyb9vX"
2022-12-30 21:40:45+00:00,"I would not have been able to do all this important work without the continued support of the great people of SC.
 
Thank you for putting your faith in me and my team as we continue to fight for you. I have great hopes for 2023! 
14/14"
2022-12-30 21:40:44+00:00,"I will always stand with our Israeli allies and fight against threats to peace and stability in the Middle East. That’s why I introduced the COI Elimination Act. 

Read more about it here: https://t.co/JbXX656UOJ 13/14"
2022-12-30 21:40:44+00:00,"We also we led a series of reports on issues that represent national imperatives for older Americans including senior nutrition programs, financial literacy, senior housing, retirement security, drug pricing, and home and community-based services. 12/14"
2022-12-30 21:40:44+00:00,"As ranking member of @SenateAgingGOP, my team &amp; I fought to reopen Social Security field offices, which helped seniors get the services they desperately needed. 11/14"
2022-12-30 21:40:43+00:00,"I’m proud to lead the bipartisan HBCU Caucus. This year, we hosted the first ever HBCU Career Fair at Benedict College. I had blast hanging out with so many bright &amp; ambitious young people. 10/14 https://t.co/k7itXBCiq8"
2022-12-30 21:40:43+00:00,"As the co-chair of the Congressional School Choice Caucus, I hosted the inaugural School Choice Caucus Breakfast with many Congressional and education leaders to build on the momentum behind expanding educational options for students. 9/14 https://t.co/cI2M5C1aJD"
2022-12-30 21:40:42+00:00,"I led a bipartisan push to change FEMA’s disaster relief policies for heirs property owners. Following this push and policy change, 42,000 homeowners and 53,000 renters received disaster assistance, totaling $350 million. 8/14 https://t.co/7xV4uZaQ3A"
2022-12-30 21:40:42+00:00,"A huge highlight of this year was the passage of my anti-lynching legislation, named in memory of Emmett Till. I first introduced this bipartisan legislation in 2018, and it marks a huge step forward in the fight to wipe out hate crimes. 7/14 https://t.co/cQNwLdxBLv"
2022-12-30 21:40:41+00:00,"Our law enforcement officers need our support now more than ever. That’s why I’ve committed to increase funding for training for police departments across the country.

I was honored to receive a number of awards from law enforcement groups this year.
6/14
https://t.co/PuGW3N36yv"
2022-12-30 21:40:41+00:00,"Small businesses are the engine of our economy. Through our work to strengthen the Minority Business Development Agency, we secured a $1.6 million grant for South Carolina!
5/14"
2022-12-30 21:40:40+00:00,"I joined Team SC leaders and the @SCPorts in celebrating the completion of the harbor deepening project. 
4/14
https://t.co/k5trYJbi7m"
2022-12-30 21:40:40+00:00,"SOUTH CAROLINA: Keeping direct conversation with South Carolinians will always be a top priority. This year alone, we sent over 17,000 letters to constituents, an increase of 70% over last year!
3/14"
2022-12-30 21:40:40+00:00,"Over the course of the year, I introduced 18 bills, 7 resolutions, and 13 amendments. 21 pieces of my legislation were passed and enacted in whole or in part.
2/14
https://t.co/dpDtvz7uph"
2022-12-30 21:40:39+00:00,"THREAD: 2022 was a great year! I am proud of all my team and I have accomplished on behalf of South Carolinians.
1/14"
